Location Name,Type,Space Category,Neighborhood,Feasibility Score,Contact Info,Booking Link,IG/Social Link,Why It's Interesting,Capacity Estimate
Congress Theater (Abandoned Spaces),Indoor,adaptive reuse,Logan Square,3,,,,"Massive, empty, and hauntingly beautiful 1920s movie palace awaiting full restoration.",Varies
Uptown Theatre (Interior),Indoor,adaptive reuse,Uptown,2,,,,"The largest and most ornate crumbling theater in the city, an aesthetic holy grail of decay.",Varies
Avalon Regal Theater,Indoor,theater,South Shore,3,,,avalonregal,"Moorish Revival atmospheric theater with incredible, highly specific exotic architectural motifs.",Varies
Civic Opera House (Foyer),Indoor,architectural landmark,Loop,6,events@lyricopera.org,,lyricopera,A colossal Art Deco masterpiece featuring towering gold-leaf ceilings and geometric symmetry.,Varies
Symphony Center (Grainger Ballroom),Indoor,historic building,Loop,6,rentals@cso.org,,chicagosymphony,Overlooks Michigan Avenue with massive windows and heavily decorated French Beaux-Arts style.,200
Chicago Union Station (Great Hall),Indoor,architectural landmark,Loop,4,events@chicagounionstation.com,,chicagounionstation,"One of the largest, most visually dominant interior vaulted spaces in North America.",Varies
Tree Studios (Courtyard/Interior Corridors),Indoor,historic building,Near North Side,6,,,,1890s artist live/work spaces with creaking wooden floors and bizarre gothic doors.,Varies
The Richard J. Daley Center (Lower Concourse),Indoor,architectural landmark,Loop,5,,,,"A low-ceiling maze of incredibly harsh, unyielding Miesian glass and dark metal.",Varies
TheMART (Grand Stair),Indoor,architectural landmark,River North,7,events@themart.com,,themartchicago,"A sprawling, ultra-modern tiered wooden staircase juxtaposed against an Art Deco monolith.",Varies
Tribune Tower (Lobby),Indoor,architectural landmark,Near North Side,5,,,,"Gothic revival lobby filled with carved stone quotes and dark, dramatic shadows.",Varies
333 North Michigan Ave (Lobby),Indoor,architectural landmark,Loop,6,,,,Elaborate Art Deco marble walls and polished brass elevators.,Varies
The Carbide & Carbon Building (Pendry Lobby),Indoor,historic building,Loop,7,events@pendry.com,,pendrychicago,Rich Belgian marble lobby that feels like stepping into a 1920s noir film.,100
Marquette Building (Lobby Mosaics),Indoor,architectural landmark,Loop,6,,,,"Features glittering Tiffany mosaics depicting early local history in a dense, dark space.",Varies
Oriental Theatre (Nederlander) Lobby,Indoor,theater,Loop,6,,,broadwayinchicago,Wildly excessive multi-colored Indian and Southeast Asian architectural fantasy design.,Varies
Cadillac Palace Theatre (Lobby),Indoor,theater,Loop,6,,,broadwayinchicago,"Breathtakingly ornate French baroque style with massive, swooping marble staircases.",Varies
The Neo-Futurarium,Indoor,theater,Andersonville,8,admin@neofuturists.org,,theneofuturists,"A long, narrow loft-style performance space that feels deeply ingrained with DIY energy.",100
The Driehaus Museum (Nickerson Mansion),Indoor,museum,Near North Side,6,events@driehausmuseum.org,,driehausmuseum,"The 'Marble Palace', overwhelmingly dense with Gilded Age excess and heavily textured rooms.",Varies
Chicago Cultural Center (GAR Hall),Indoor,historic building,Loop,6,dcase@cityofchicago.org,,chicagoculturalcenter,"A darker, moodier counterpart to the main dome, featuring deep greens and heavy marble.",100
Block 37 (Subterranean Transit Station),Indoor,architectural landmark,Loop,4,,,,"An entirely abandoned, futuristic super-station built beneath a mall but never used.",Varies
Gallagher Way (Indoor suites),Indoor,private club,Wrigleyville,6,events@gallagherway.com,,gallagherwaychi,Ultra-sleek modernized suites that contrast sharply with the historic baseball aesthetic.,Varies
Lurie Garden,Outdoor,garden,Loop,8,info@luriegarden.org,,luriegarden,"A dense, manicured clash of wild prairie grass cut by an aggressive, severe limestone wall.",Varies
31st Street Harbor,Outdoor,waterfront,Near South Side,9,harbors@chicagoparkdistrict.com,,chicagoharbors,Ultra-modern harbor infrastructure featuring stark concrete angles jutting into the lake.,Varies
South Shore Nature Sanctuary,Outdoor,nature preserve,South Shore,9,permit@chicagoparkdistrict.com,,,A circular stone fire pit and boardwalk paths hiding within dense thickets against the lake.,Varies
Washington Park (Fountain of Time),Outdoor,public art,Washington Park,9,permit@chicagoparkdistrict.com,,,"A colossal, eerie concrete sculptural masterpiece surrounded by wide, empty parkland.",Varies
Midway Plaisance,Outdoor,park,Hyde Park,9,permit@chicagoparkdistrict.com,,,"A massive sunken grassy trench spanning a mile, originally part of the 1893 World's Fair.",Varies
Canal Origins Park,Outdoor,waterfront,Bridgeport,9,permit@chicagoparkdistrict.com,,,"Brutal, forgotten industrial aesthetic located exactly where the river reverses flow.",Varies
Park No. 571 (Eleanor Boathouse),Outdoor,architectural landmark,Bridgeport,8,permit@chicagoparkdistrict.com,,,"Studio Gang designed rhythmic, jagged zinc-clad roofs that look like floating geometry.",Varies
Chinatown Gateway and Wentworth Ave,Outdoor,architectural landmark,Chinatown,7,,,chicagoccia,"Bustling street level anchored by an immense, intricately painted traditional gateway.",Varies
18th Street Bridge (Pilsen Overlook),Outdoor,public art,Pilsen,10,,,,"A gritty vantage point looking over active rail yards, factories, and the distant skyline.",Varies
Kinzie Street Railroad Bridge,Outdoor,architectural landmark,River North,10,,,,A massive rust-covered steel bridge permanently raised in the air like a monument.,Varies
North Avenue Beach Pier,Outdoor,waterfront,Lincoln Park,9,permit@chicagoparkdistrict.com,,,"A hook-shaped concrete pier stretching far into the lake, offering an isolated, dramatic city backdrop.",Varies
Belmont Harbor (Concrete Wave Breakers),Outdoor,waterfront,Lakeview,10,permit@chicagoparkdistrict.com,,,"Aggressive, blocky concrete ledges designed to shatter waves, providing a surreal, brutalist coastline.",Varies
Diversey Harbor (Inlet),Outdoor,waterfront,Lincoln Park,9,permit@chicagoparkdistrict.com,,,"A tranquil, highly enclosed pocket of water surrounded by dense trees and concrete walls.",Varies
Lincoln Park Conservatory Formal Garden,Outdoor,garden,Lincoln Park,9,permit@chicagoparkdistrict.com,,lincolnparkconservancy,"A highly manicured, fiercely geometric French-style garden with a looming fountain.",Varies
Oz Park (Statues),Outdoor,park,Lincoln Park,9,permit@chicagoparkdistrict.com,,,"Strange, slightly unsettling metallic statues of Wizard of Oz characters scattered among towering trees.",Varies
Garfield Park (Gold Dome Exterior),Outdoor,architectural landmark,East Garfield Park,8,permit@chicagoparkdistrict.com,,,Massive Spanish baroque architecture topped with an inexplicably grand gold dome.,Varies
Douglas Park (Stone Bridges),Outdoor,park,North Lawndale,9,permit@chicagoparkdistrict.com,,,"Features highly textured, romantic crumbling stone bridges traversing slow-moving scenic lagoons.",Varies
Humboldt Park (Formal Garden),Outdoor,garden,Humboldt Park,9,permit@chicagoparkdistrict.com,,,"A perfectly circular, sunken outdoor room enclosed by dense, sweeping prairie style landscaping.",Varies
Churchill Field (The 606 Elevated Platform),Outdoor,park,Bucktown,10,permit@chicagoparkdistrict.com,,the606chicago,A raised vantage point observing the neighborhood grid from the height of the train lines.,Varies
Jane Addams Memorial Park (Ohio St Beach),Outdoor,park,Streeterville,9,permit@chicagoparkdistrict.com,,,A small triangle of green space squeezed between high-speed traffic and endless water.,Varies
Ogden Slip,Outdoor,waterfront,Streeterville,9,,,,"A narrow, highly enclosed canal surrounded entirely by towering red brick warehouse architecture.",Varies
Wolf Point,Outdoor,waterfront,River North,9,,,,"The exact nexus where the three branches of the river collide, flanked by glass monoliths.",Varies
Lower Wacker Drive,Outdoor,architectural landmark,Loop,8,,,,"Famous subterranean multi-lane road offering a dystopian, echoing underworld entirely of concrete.",Varies
Marina City (Riverside Plaza),Outdoor,architectural landmark,River North,8,,,marinacitychicago,Curved concrete aprons clinging to the water at the base of the iconic 'corn cob' towers.,Varies
Aon Center Plaza (Sunken Area),Outdoor,architectural landmark,Loop,8,,,,"An entirely white, highly minimalist sunken basin featuring brutal geometric shapes.",Varies
Federal Plaza,Outdoor,public art,Loop,8,,,,"A stark plaza dwarfed by black steel skyscrapers and anchored by an imposing, aggressive red iron structure.",Varies
Congress Parkway Interchange,Outdoor,architectural landmark,Loop,10,,,,"A massive, swooping concrete opening in the side of a building where high-speed traffic bursts through.",Varies
Printers Row (Dearborn Station Exterior),Outdoor,historic building,South Loop,10,,,,A bizarre Romanesque clocktower capping an intensely red brick streetscape.,Varies
Chicago Riverwalk (Under the bridges),Outdoor,architectural landmark,Loop,9,chicagoriverwalk@cityofchicago.org,,chicagoriverwalk,"Acoustically intense, heavily shadowed concrete rooms existing directly beneath the massive gears of drawbridges.",Varies
Jackson Park (Republic Statue area),Outdoor,public art,Woodlawn,9,permit@chicagoparkdistrict.com,,,"A towering golden statue dominating an otherwise desolate, sprawling historic traffic circle.",Varies
