Location Name,Type,Space Category,Neighborhood,Feasibility Score,Contact Info,Booking Link,IG/Social Link,Why It's Interesting,Capacity Estimate
Madonna della Strada Chapel (Loyola Univ),Indoor,church,Rogers Park,5,,,loyolachicago,Stunning Art Deco maritime-influenced church perched literally on the violent edge of the lake.,150
University of Chicago (Harper Memorial Library Reading Room),Indoor,library,Hyde Park,6,,,uchicagolibrary,Hogwarts-esque towering limestone arches framing massive chandeliers and an unending sea of dark wood.,Varies
University of Chicago (Bond Chapel),Indoor,church,Hyde Park,6,,,,"Tiny, intensely intricate and heavily wooded Gothic chapel overflowing with dark, detailed stained glass.",40
The Blackstone Hotel (Crystal Ballroom),Indoor,historic building,South Loop,7,,,theblackstonehotel,An oppressively ornate Beaux-Arts ballroom featuring heavy drapery and excessive crystal.,200
The Congress Plaza Hotel (Gold Room),Indoor,historic building,Loop,7,,,,"Infamously haunted ballroom featuring bizarrely ornate, almost decaying golden plasterwork.",250
The Drake Hotel (Palm Court),Indoor,historic building,Gold Coast,7,,,thedrakehotel,"Vast, opulent tea room dominated by an enormous, intricately carved limestone fountain.",100
The Reliance Building (Stairwell/Lobby),Indoor,architectural landmark,Loop,6,,,,"The first skyscraper to use large plate glass, creating highly disorienting, stark white terra cotta interiors.",Varies
The Woman's Athletic Club,Indoor,private club,Near North Side,3,,,,An impossible to penetrate fortress of perfectly preserved 1920s French-influenced excess.,100
The Union League Club of Chicago (Library),Indoor,private club,Loop,4,,,ulcchicago,"A profoundly quiet, old-money multi-story library stacked end to end with rare books and oil portraits.",100
The Chicago Athletic Association (White City Ballroom),Indoor,historic building,Loop,7,events@chicagoathletichotel.com,,chicagoathletichotel,Features stalactite-like plaster ceilings and enormous gothic fireplaces overlooking the park.,250
The Fisher Building (Lobby),Indoor,architectural landmark,Loop,6,,,,"A bizarre, neo-gothic lobby densely packed with yellow terra cotta carvings of mythical aquatic creatures.",Varies
The Manhattan Building (Lobby),Indoor,architectural landmark,Loop,5,,,,"One of the oldest surviving steel-framed skyscrapers, featuring extremely dark, claustrophobic granite halls.",Varies
The McCormick Place (Underground busways),Indoor,architectural landmark,Near South Side,3,,,,"Endless, echoing, brightly lit concrete tunnels running for miles beneath the convention centers.",Varies
Museum of Science and Industry (The Coal Mine exhibit),Indoor,immersive exhibit,Hyde Park,4,specialevents@msichicago.org,,msichicago,"A painstakingly recreated subterranean coal mine that is eerily dark, cramped, and textured.",40
Rainbow Beach water filtration plant (Interior),Indoor,industrial,South Shore,2,,,,"A sprawling mid-century modernist municipal water facility filled with vast, humming machinery rooms.",Varies
Pullman National Monument (Clock Tower Building),Indoor,historic building,Pullman,7,pull_visitor_info@nps.gov,,pullmannationalmonument,A radically restored 1880s industrial manufacturing floor featuring pristine brick and massive skylights.,Varies
Given's Castle,Indoor,historic building,Beverly,5,,,,"An absurd, fully functional 1886 medieval-style limestone castle towering bizarrely over a residential area.",Varies
John H. Vanderpoel Art Association,Indoor,gallery,Beverly,6,info@vanderpoelartmuseum.org,,,"A strange, densely packed historic gallery of 19th-century oil paintings hidden above a park fieldhouse.",50
Columbus Park Refectory (Dance hall),Indoor,historic building,Austin,8,permit@chicagoparkdistrict.com,,,"A beautiful, decaying, wildly romantic Spanish Revival hall with gigantic arched windows looking at water.",100
Austin Town Hall Park (Indoor Theater),Indoor,theater,Austin,8,permit@chicagoparkdistrict.com,,,"A massive, brick neo-Georgian community complex modeled literally after Independence Hall.",200
Eckhart Park (Indoor fieldhouse),Indoor,historic building,West Town,8,permit@chicagoparkdistrict.com,,,A sprawling prairie-style complex boasting heavy dark woods and a beautifully grim indoor pool room.,Varies
Cook County Hospital (Restored Lobby / Harrison's),Indoor,adaptive reuse,Near West Side,7,,,,"Once an iconic decaying ruin, now a terrifyingly massive, meticulously restored Beaux-Arts hall.",Varies
Simone's,Indoor,adaptive reuse,Pilsen,8,info@simonesbar.com,,simonesbar,The architectural equivalent of a junkyard fever dream; built entirely from scavenged urban salvage.,100
Hector Duarte's Studio,Indoor,studio,Pilsen,6,,,,"A private artist studio where the entire massive facade and interior serves as a giant, surreal mural.",Varies
Art Institute of Chicago (Ryerson and Burnham Libraries),Indoor,library,Loop,5,,,artinstitutechi,"Hidden deep in the museum, a multi-tiered, strictly silent modernist library under a massive glass roof.",100
National Veterans Art Museum,Indoor,museum,Portage Park,7,info@nvam.org,,nvamuseum,"An intense juxtaposition of heavy, visceral war art hung against sterile, quiet community gallery walls.",100
Balzekas Museum of Lithuanian Culture,Indoor,museum,West Lawn,7,info@balzekasmuseum.org,,balzekasmuseum,"Features an impossibly dense, eerie collection of gothic medieval armor and forgotten Eastern European artifacts.",50
The Insect Asylum,Indoor,museum,Avondale,9,info@theinsectasylum.com,,theinsectasylum,An incredibly unsettling but beautiful collection of thousands of pinned insects and taxidermy dioramas.,40
Busy Beaver Button Museum,Indoor,museum,Logan Square,8,info@busybeaver.net,,busybeaverbuttonco,"Thousands of tiny, colorful historical buttons aggressively packed into a wildly vibrant room.",30
The Rebuilding Exchange,Indoor,warehouse,Bucktown,9,info@rebuildingexchange.org,,rxchicago,An absolutely sprawling industrial warehouse filled stacked to the ceiling with old salvaged doors and lumber.,Varies
The WasteShed,Indoor,warehouse,Humboldt Park,9,info@thewasteshed.com,,thewasteshed,"A chaotic, colorful cavern of endless creative reuse materials, fabrics, and eccentric junk.",30
Guild Row,Indoor,adaptive reuse,Avondale,8,hello@guildrow.co,https://www.guildrow.co,guildrow,"Multi-structure industrial compound heavily focused on raw masonry, woodshops, and massive textiles.",150
Bridgeport Art Center (Skyline Loft),Indoor,loft,Bridgeport,10,events@bridgeportart.com,https://bridgeportart.com,bridgeportartcenter,"18,000 square feet of completely open, raw timber loft space floating high above the industrial south side.",Varies
21c Museum Hotel (Galleries),Indoor,gallery,River North,8,chicago@21chotels.com,,21cchicago,Multi-level contemporary art museum wrapped inside an aggressively chic boutique hotel interior.,Varies
The Martin,Indoor,gallery,West Town,9,themartinchicago@gmail.com,,themartinchicago,"An intensely eclectic, DIY-friendly, wood-heavy artist gallery and storefront brimming with texture.",50
The Chicago Firehouse Restaurant,Indoor,adaptive reuse,South Loop,8,events@chicagofirehouse.com,,chicagofirehouse,A literal 1905 firehouse complete with beautifully glazed white brick and an original brass fire pole.,100
St. Volodymyr and Olha Ukrainian Catholic Church,Indoor,church,Ukrainian Village,6,,,,Breathtakingly ornate golden and aggressively bright frescoed walls radiating completely unexpected color.,Varies
St. Nicholas Ukrainian Catholic Cathedral,Indoor,church,Ukrainian Village,6,,,,"Patterned off the St. Sophia in Kyiv, boasting an astonishing 13 domes and deeply saturated interiors.",Varies
Holy Trinity Polish Catholic Church,Indoor,church,Noble Square,6,,,,"Intensely massive brick gothic church completely lacking columns, leaving an impossibly vast interior.",Varies
St. Stanislaus Kostka,Indoor,church,Noble Square,6,,,,"Known as the mother church of Polish parishes, dominating the skyline over the expressway with intense spires.",Varies
St. Alphonsus Church,Indoor,church,Lakeview,6,,,stalphonsuschicago,An impossibly beautiful blue gothic ceiling adorned with thousands of golden stars arching over stone walls.,Varies
Monastery of the Holy Cross,Indoor,church,Bridgeport,5,,,,An active Benedictine monastery featuring a soaring gothic chapel that feels incredibly severe and ancient.,Varies
Midwest Buddhist Temple,Indoor,church,Old Town,6,info@mbtchicago.org,,mbtchicago,"A stunning, deeply serene mid-century modern Japanese style temple hidden quietly among Victorian homes.",Varies
The Laramie State Bank (Interior Ruins),Indoor,architectural landmark,Austin,2,,,,"An absolutely magnificent, rotting Art Deco terra cotta building providing an unbelievable ruin aesthetic.",Varies
St. Agatha Catholic Church,Indoor,church,North Lawndale,6,,,,"Romanesque architecture featuring huge, imposing double spires and dramatic lighting angles.",Varies
St. Paul Catholic Church,Indoor,church,Pilsen,6,,,,"A very unusual, deeply wide and heavy brick church specifically built without any towering steeples.",Varies
The Flatiron Arts Building,Indoor,historic building,Wicker Park,8,,,flatironartsbuilding,"A fiercely chaotic, terrifyingly twisting labyrinth of hallways dripping with decades of artists' paint.",Varies
The Kehilath Anshe Ma'ariv Synagogue (Pilgrim Baptist Church Shell),Outdoor,historic building,Bronzeville,4,,,,"The burned-out, stabilized massive stone exterior walls of a Sullivan and Adler masterpiece standing as a ruin.",Varies
First Chicago Bank Building (Chase Tower Sunken Plaza),Outdoor,public art,Loop,8,,,,"A brutalist concrete plaza diving beneath street level, anchored by Marc Chagall's massive colorful mosaic.",Varies
The Nichols Bridgeway,Outdoor,architectural landmark,Loop,8,,,,"An impossibly long, aggressively modern white blade of a bridge cutting straight into the Art Institute.",Varies
Vietnam Veterans Memorial (Water Wall),Outdoor,public art,Loop,9,,,,"A severely stark, massive black granite wall continuously bleeding water into an echoing riverside basin.",Varies
Riverwalk (The Jetty),Outdoor,waterfront,Loop,9,,,chicagoriverwalk,A series of floating concrete piers intensely packed with wild wetland plants right under the massive skyscrapers.,Varies
Canal Street Railroad Underpasses,Outdoor,architectural landmark,Fulton Market,9,,,,"Relentless grids of colossal, deafeningly loud black steel columns supporting active freight trains above.",Varies
The Stockyard Gate,Outdoor,architectural landmark,Back of the Yards,9,,,,"A towering, incredibly grim limestone archway standing completely alone in the center of an industrial district.",Varies
Monument to the Great Northern Migration,Outdoor,public art,Bronzeville,9,,,,"An imposing bronze statue standing fiercely at the entrance of Bronzeville, exuding immense historical gravity.",Varies
South Side Community Art Center (Exterior courtyard),Outdoor,historic building,Bronzeville,8,,,sscac_chi,"Classic Georgian revival architecture sharply mixed with dense, textured modernist outdoor art installations.",Varies
Prairie Avenue Historic District (Cobblestones),Outdoor,historic building,South Loop,9,,,,A perfectly preserved strip of authentic cobblestone streets lined exclusively by gigantic Gilded Age mansions.,Varies
Kenwood historic mansions (Exterior streets),Outdoor,historic building,Kenwood,9,,,,"Incredibly wide, heavily forested neighborhood streets flanked by sprawling, absurdly vast residential compounds.",Varies
The Richard J. Daley Center (Plaza),Outdoor,public art,Loop,8,,,,"A relentlessly barren, windswept granite plaza fiercely guarded by an absolutely massive rusted Picasso sculpture.",Varies
LaSalle Street Canyon (Ceres Statue view),Outdoor,architectural landmark,Loop,9,,,,"A deeply shadowy, intensely dark canyon formed by sheer walls of high-finance architecture ending in an Art Deco monolith.",Varies
57th Street Beach (Underpass with murals),Outdoor,public art,Hyde Park,9,,,,"A deeply arched, incredibly long stone tunnel extensively coated in vivid, layered community painted scenes.",Varies
Jackson Park Wooded Island (Nature trails),Outdoor,nature preserve,Hyde Park,9,,,,"Densely untamed, completely isolated dirt paths that make the city skyline completely magically vanish.",Varies
The Columbia Basin (Jackson Park),Outdoor,waterfront,Hyde Park,9,,,,"The sprawling, highly structured reflecting pool remaining directly from the center of the 1893 World's Fair.",Varies
Calumet Park (Lakefront),Outdoor,waterfront,East Side,9,,,,"Sweeping views of apocalyptic steel mills contrasting fiercely with pristine, icy Lake Michigan waves.",Varies
Big Marsh Park (Eco paths),Outdoor,nature preserve,South Deering,9,,,bigmarshchicago,"A surreal, highly transformed landscape of massive black steel slag paths cutting directly through wild green marshland.",Varies
Marian R. Byrnes Park,Outdoor,nature preserve,South Deering,9,,,,"A massive, very rarely visited urban wilderness dotted with gigantic man-made hills of rocky industrial waste.",Varies
The Dan Ryan Woods (The aqueducts),Outdoor,park,Beverly,9,,,,"Heavy, ancient-looking limestone aqueducts heavily cutting through very dense timber forests on a high ridge.",Varies
The Ridge Historic District,Outdoor,historic building,Beverly,10,,,,"A profoundly un-Chicago, winding heavily forested, steeply sloping road flanked by massive historic estates.",Varies
The Western Avenue Overpass (The 606),Outdoor,architectural landmark,Bucktown,9,,,the606chicago,"An intensely aggressive, wide concrete bridge offering dramatic overpasses crossing over extremely chaotic traffic.",Varies
The Bloomingdale Trail (Observatory),Outdoor,park,Humboldt Park,9,,,the606chicago,"A fiercely modern, spiraling grassy hillside expressly built to act as a neighborhood celestial observatory.",Varies
Wicker Park (The central fountain),Outdoor,park,Wicker Park,9,,,wickerparkchicago,A heavily ornate historic cast-iron fountain surrounded entirely by fiercely angular Victorian mansions.,Varies
The Robey (The Cabana Club rooftop),Outdoor,rooftop,Wicker Park,8,events@therobey.com,therobey.com,therobeychicago,An impossibly distinct triangular pool deck completely dominating the chaotic intersection of three major avenues.,Varies
Lincoln Park Zoo (Honeycomb pavilion),Outdoor,architectural landmark,Lincoln Park,8,events@lpzoo.org,,lincolnparkzoo,"Studio Gang designed incredibly swooping, massive wooden honeycomb pod framing the water and skyscrapers.",Varies
Oak Street Beach (Pedestrian tunnel),Outdoor,public art,Gold Coast,9,,,,"An incredibly long, deeply shadowy concrete tube fiercely leading the roaring city straight onto the bright beach.",Varies
The Lakefront Trail (Chess Pavilion),Outdoor,architectural landmark,Lincoln Park,9,,,,An extremely brutalist exposed concrete cantilever jutting confidently right out over the crashing lake water.,Varies
Montrose Harbor (The docks),Outdoor,waterfront,Uptown,9,,,,"A sprawling, jagged maze of metallic boating slips staring directly down the massive skyline profile.",Varies
Alta Vista Terrace,Outdoor,historic building,Wrigleyville,10,,,,"A terrifyingly perfect, extremely narrow street of exact replica London rowhouses completely out of place in space.",Varies
