Location Name,Type,Space Category,Neighborhood,Feasibility Score,Contact Info,Booking Link,IG/Social Link,Why It's Interesting,Capacity Estimate
The Palmer House Hilton (Grand Lobby Ceiling),Indoor,historic building,Loop,7,,,palmerhousehilton,"Lounge under a dizzying, deeply opulent vaulted ceiling entirely covered in hand-painted Greek mythology frescoes.",Varies
The Drake Hotel (Gold Coast Room),Indoor,historic building,Gold Coast,7,,,thedrakehotel,"An incredibly regal, colonnaded ballroom overlooking the lake that drips with 1920s high society exclusivity.",Varies
Chicago Athletic Association (Stagg Observatory/Drawing Room),Indoor,historic building,Loop,7,events@chicagoathletichotel.com,,chicagoathletichotel,"A darkly lit, masculine parlor boasting heavy oak panelling and towering Gothic windows facing the park.",100
Freehand Chicago (Lobby Lounge),Indoor,adaptive reuse,River North,8,events@freehandhotels.com,,freehandchicago,"Ultra-hip, meticulously stylized bohemian decor blending extreme dark wood with vivid, vintage South American textiles.",100
The Allerton Hotel (Tip Top Tap - Abandoned Feel),Indoor,historic building,Near North Side,5,,,warwickallerton,"A legendary, long-closed 1940s skyscraper lounge that still intensely radiates Sinatra-era ghost vibes high above the city.",Varies
St. Ignatius College Prep (Tully Hall),Indoor,library,Near West Side,5,,,stignatiuschicago,Impeccably preserved 1870s woodwork and towering arched bookcases make this feel like a deep academic sanctuary.,Varies
Lane Tech College Prep (Auditorium & Murals),Indoor,theater,Roscoe Village,4,,,,"A gigantic, 2,000-seat public school auditorium heavily lined with absolutely massive New Deal-era WPA fresco murals.",Varies
Schurz High School (Prairie Style Interior),Indoor,historic building,Irving Park,4,,,,An architectural rarity; an entire colossal public high school fully embodying Frank Lloyd Wright's prairie aesthetic.,Varies
Fourth Presbyterian Church (Sanctuary),Indoor,church,Streeterville,6,,,fourthpreschicago,"Monolithic Gothic Revival stone pillars climbing to a stunning, dramatically sloped carved wooden ceiling.",Varies
St. Hedwig Catholic Church,Indoor,church,Bucktown,6,,,,Astonishingly ornate 'Polish Cathedral' style emphasizing deep gold trim and intensely vivid stained glass.,Varies
Our Lady of Mount Carmel Church,Indoor,church,Lakeview,6,,,ourladyofmountcarmelchi,"Deep reds and intense wood paneling provide a much tighter, more visceral gothic feeling than larger cathedrals.",Varies
Rockefeller Memorial Chapel (Main Nave),Indoor,church,Hyde Park,6,events@uchicago.edu,,ucrockefeller,"Towering, brooding stone walls culminating in a terrifyingly massive Gothic vaulted ceiling that dominates the university.",Varies
Epiphany Center for the Arts (Catacombs),Indoor,adaptive reuse,West Loop,9,events@epiphanychi.com,epiphanychi.com,epiphanyartscenter,"A rugged, completely subterranean stone basement with ultra-low ceilings and moody track lighting.",100
Bridgeport Art Center (Sculpture Garden Gallery),Indoor,gallery,Bridgeport,9,events@bridgeportart.com,bridgeportart.com,bridgeportartcenter,"An endlessly long, stark white corridor heavily lined with monolithic raw structural wood columns.",Varies
Renaissance Society,Indoor,gallery,Hyde Park,6,info@renaissancesociety.org,,rensociety,"A high, stark, dramatically lit vaulted gallery hidden completely inside one of the campus's oldest gothic buildings.",Varies
Space 1858,Indoor,storefront,West Town,10,info@space1858.com,space1858.com,space1858,"An aggressively simple, hyper-clean white box storefront designed specifically for total photographic control.",40
Ed Debevic's (Retro Diner Interior),Indoor,restaurant,Streeterville,7,,,eddebevics,"A completely overwhelming, neon-drenched sensory overload perfectly mimicking a 1950s retro diner aesthetic.",150
Margie's Candies (Vintage Ice Cream Parlor),Indoor,restaurant,Logan Square,5,,,,"Completely untouched 1920s interior featuring tiny booths, ancient Tiffany lamps, and peeling vintage sweetness.",30
The Berghoff (Historic Dining Room),Indoor,restaurant,Loop,6,,,berghoffchicago,"An endless sea of dark mahogany, stained glass, and terrifyingly efficient German pub aesthetics.",Varies
Walnut Room (Macy's State Street),Indoor,restaurant,Loop,6,,,,"Circassian walnut paneling and towering ceilings provide an intensely regal, old-world department store grandeur.",Varies
Cherry Circle Room (CAA),Indoor,restaurant,Loop,8,,,cherrycircleroom,"A windowless, intimately dark, wildly stylized mid-century modern dining room feeling like a perfect Mad Men set.",60
Museum of Contemporary Art (Interior Stairwell),Indoor,museum,Streeterville,6,events@mcachicago.org,,mcachicago,"A violently sharp, intensely white minimalist spiral staircase that physically mimics the inside of a nautilus shell.",Varies
National Museum of Puerto Rican Arts and Culture,Indoor,museum,Humboldt Park,7,info@nmprac.org,,nmprac,Exhibits housed inside a dramatically gorgeous Queen Anne-style former stable building deep inside the park.,100
Ed Paschke Art Center,Indoor,museum,Jefferson Park,8,info@edpaschkeartcenter.org,,edpaschkeartcenter,"Hyper-colored, neon-saturated pop-art galleries explicitly contrasting with an austere stone architectural shell.",80
Copernicus Center,Indoor,historic building,Jefferson Park,7,events@copernicuscenter.org,,copernicuscenter,"A massive, dizzying starry sky ceiling set over an eccentric mix of 1930s cinematic architecture and Polish motifs.",Varies
Heritage Museum of Asian Art,Indoor,museum,Bridgeport,8,info@heritageasianart.org,,heritageasianart,"A pristine, totally quiet atmosphere featuring extreme wooden geometric screens framing ancient jade and pottery.",Varies
McCormick Bridgehouse (Gear Rooms),Indoor,historic building,Loop,7,bridgehousemuseum@chicagoriver.org,,bridgehousemuseum,"Deep within the river tower, entirely consumed by terrifyingly massive, greasy interlocked steel bridge gears.",40
Macy's on State Street (Tiffany Vaulted Ceiling),Indoor,architectural landmark,Loop,6,,,,"The absolute largest continuous piece of Favrile glass in the world, glowing intensely above retail floors.",Varies
Garfield Park Conservatory (Palm House),Indoor,immersive exhibit,East Garfield Park,8,rentals@garfieldpark.org,,garfieldparkconservatory,"A staggering 65-foot-high glass ceiling barely containing an incredibly dense, chaotic explosion of tropical palms.",Varies
Lincoln Park Conservatory (Fern Room),Indoor,immersive exhibit,Lincoln Park,7,,,lincolnparkconservancy,"A sunken, extremely humid prehistoric environment heavily rooted with giant ferns and ancient cycads.",40
Field Museum (Grainger Hall of Gems),Indoor,museum,Near South Side,5,,,fieldmuseum,"A completely blackened, mirrored room explicitly designed to make thousands of jewels aggressively glow in the dark.",Varies
Museum of Science and Industry (Whispering Gallery),Indoor,museum,Hyde Park,5,,,msichicago,"A weird, acoustically perfect dome structure offering terrifying sound isolation and minimalist geometric beauty.",Varies
Shedd Aquarium (Caribbean Reef Rotunda),Indoor,museum,Near South Side,5,,,shedd_aquarium,"An impossibly massive, glowing blue column of 90,000 gallons of water completely dominating a marble hall.",Varies
Adler Planetarium (Doane Observatory),Indoor,museum,Near South Side,7,events@adlerplanetarium.org,,adlerplanet,"A stark white, harshly brutalist geometric dome housing the largest aperture telescope accessible to the public.",50
Chicago Architecture Center (Drake Skyscraper Gallery),Indoor,museum,Loop,6,,,chiarchitecture,"A towering wall featuring dozens of impossibly detailed, suspended scale models of world-famous skyscrapers.",Varies
Driehaus Museum (Smirnoff Room),Indoor,museum,Near North Side,6,events@driehausmuseum.org,,driehausmuseum,"Completely covered floor-to-ceiling in intensely vibrant, overwhelming blue Lincrusta wallpaper and mahogany.",30
Chicago Board of Trade (Ceres Lobby),Indoor,architectural landmark,Loop,5,,,cbotbuilding,"An impossibly slick, three-story Art Deco lobby bathed in contrasting black and light-grey marble.",Varies
The Monadnock Building (Aluminum & Glass Entrances),Indoor,architectural landmark,Loop,6,,,,"A rare transitional space where intensely heavy masonry dramatically gives way to sleek, highly polished aluminum stairs.",Varies
Tribune Tower (Hall of Inscriptions),Indoor,architectural landmark,Near North Side,5,,,,"A deeply shadowed, incredibly grim passageway completely carved with monumental text.",Varies
The Carbide & Carbon Building (Elevator Banks),Indoor,historic building,Loop,7,,,,Dripping with intensely dark black granite and wildly excessive gold-leaf Art Deco geometric trims.,Varies
Chicago Architecture Center (Main Arcade),Indoor,museum,Loop,6,,,,"Mies van der Rohe's masterpiece lobby heavily featuring radically exposed, massive black steel pilotis.",Varies
The Robey (Lounge & Tower),Indoor,historic building,Wicker Park,8,,,therobeychicago,"Intensely triangular floor-plates forcing weird, angular interior geometry overlooking the Six Corners chaos.",Varies
The Drake Hotel (French Room),Indoor,historic building,Gold Coast,7,,,thedrakehotel,"An overwhelmingly ornate, relatively small parlor room heavily drowning in baroque wood and floral excess.",80
St. Josaphat Parish,Indoor,church,Lincoln Park,6,,,,"A stunning, massive Romanesque basilica explicitly characterized by incredibly harsh, heavy raw brick pillars.",Varies
St. Hyacinth Basilica,Indoor,church,Avondale,6,,,,"One of only three minor basilicas in the city, an absolutely monumental and dizzyingly frescoed Polish cathedral.",Varies
St. Mary of Perpetual Help,Indoor,church,Bridgeport,6,,,,"Heavily adorned Byzantine-Romanesque interior featuring an incredibly vibrant, overwhelming central dome.",Varies
First Presbyterian Church of Chicago,Indoor,church,Woodlawn,6,,,,"An incredibly stark, almost fortress-like Gothic brick exterior hiding a deeply somber, cavernous wooden nave.",Varies
First United Methodist Church (Sanctuary),Indoor,church,Loop,5,,,chicagotemple,"A terrifyingly massive, fiercely gothic sanctuary completely hidden entirely within the first floors of a skyscraper.",Varies
Holy Family Church,Indoor,church,Near West Side,6,,,,"The absolute oldest surviving wood-carved church interior in Chicago, feeling deeply ancient and highly flammable.",Varies
The Shrine of Christ the King Sovereign Priest,Indoor,ruin,Woodlawn,3,,,,"An absolutely surreal, actively stabilizing post-fire church ruin functioning visually as a grand open-air stone monument.",Varies
Ebenezer Missionary Baptist Church,Indoor,church,Bronzeville,6,,,,"An iconic, profoundly resonant auditorium-style sanctuary crucial to the absolute invention of gospel music.",Varies
Nativity of Our Lord Catholic Church,Indoor,church,Bridgeport,6,,,,"Featuring impossibly pristine white altars sharply contrasting heavily with deep, dark wooden pews.",Varies
Co-Prosperity Sphere,Indoor,gallery,Bridgeport,9,info@publicmediainstitute.com,,coprosperitychicago,"A deeply experimental, aggressively windowed street-level exhibition space that feels incredibly raw and visceral.",100
Bridgeport Art Center (Maritime Gallery),Indoor,gallery,Bridgeport,9,,,bridgeportartcenter,"Completely stripped, impossibly wide lower-level industrial floors deeply set among structural brick.",Varies
Chicago Art Department,Indoor,gallery,Pilsen,8,info@chicagoartdepartment.org,,chicagoartdept,"A deeply gritty, intensely active multi-room artist studio heavily defined by battered floors and vibrant walls.",Varies
Morgan Arts Complex,Indoor,gallery,Bridgeport,9,events@morganartscomplex.com,,morganartscomplex,"Massive, wildly refined post-industrial gallery leaning heavily into pristine white walls and stark iron accents.",Varies
Stan Mansion,Indoor,historic building,Logan Square,9,info@stanmansion.com,stanmansion.com,stanmansion,"An imposingly grand, completely restored Masonic lodge heavily utilizing dramatic lighting and towering arches.",300
Rockwell on the River,Indoor,warehouse,Avondale,10,events@rockwellontheriver.com,rockwellontheriver.com,rockwellontheriver,"A fiercely angular, bow-truss timber roof over completely raw concrete floors directly adjacent to the river.",Varies
Room 1520,Indoor,loft,West Loop,10,info@room1520.com,room1520.com,room1520,"A meticulously minimal, starkly white historical gear-factory loft completely flooded with harsh natural light.",150
Crown Fountain (Glass Brick Underbelly),Outdoor,public art,Loop,9,permit@chicagoparkdistrict.com,,,"Focusing completely on the brutalist, highly repetitive glass brick monolithic sides rather than the spitting faces.",Varies
Maggie Daley Park (Play Garden Towers),Outdoor,park,Loop,9,permit@chicagoparkdistrict.com,,,"Bizarre, terrifyingly large metallic suspension bridges and eccentric nautical towers meant for kids but striking on film.",Varies
Grant Park (Agora Sculptures),Outdoor,public art,South Loop,9,permit@chicagoparkdistrict.com,,,"106 impossibly huge, headless, rusting iron bodies violently frozen mid-stride across an empty plaza.",Varies
Buckingham Fountain (Off-season/Empty),Outdoor,architectural landmark,Loop,8,permit@chicagoparkdistrict.com,,,"When drained and dry, the massive pink marble basins feel like a surreal, completely desolate ancient ruin.",Varies
Navy Pier (East End Plaza / Wave Wall),Outdoor,architectural landmark,Streeterville,8,navypierinfo@navypier.org,,,"Far past the tourist traps, a fiercely modernist, heavily sweeping staircase leading straight into terrifying lake oblivion.",Varies
Chicago Riverwalk (The Cove),Outdoor,waterfront,Loop,9,chicagoriverwalk@cityofchicago.org,,,Extremely low-profile concrete seating literally hovering inches above the terrifyingly deep green river water.,Varies
Ping Tom Memorial Park (Pagoda Pavilion),Outdoor,park,Chinatown,9,,,,"A spectacularly bright, deeply traditional red pavilion completely surrounded by brutal railroad rust.",Varies
The 606 (Walnut Street Curve),Outdoor,park,Logan Square,9,permit@chicagoparkdistrict.com,,the606chicago,"A dramatically sloping, highly angular concrete path that forces the entire urban skyline perfectly into frame.",Varies
Palmisano Park (Stearns Quarry Mound),Outdoor,park,Bridgeport,9,permit@chicagoparkdistrict.com,,,"A terrifyingly steep, completely manufactured grassy hill providing an isolated, windy plateau overlooking the south side.",Varies
Northerly Island (Adler Planetarium Skyline Walk),Outdoor,nature preserve,Near South Side,9,,,,"A violently sweeping, completely unobstructed curving path that makes the city look like a distant island.",Varies
Promontory Point (Fire Pits),Outdoor,waterfront,Hyde Park,9,permit@chicagoparkdistrict.com,,,Deep concrete council rings built directly into the terrifyingly steep limestone drops into the lake.,Varies
Jackson Park (Osaka Garden Moon Bridge),Outdoor,garden,Hyde Park,9,permit@chicagoparkdistrict.com,,,"A completely isolated, intensely arched wooden bridge deeply shrouded within absolutely wild, unkempt weeping willows.",Varies
Washington Park (Bulls Eye),Outdoor,park,Washington Park,9,permit@chicagoparkdistrict.com,,,"A completely bizarre, perfectly circular grassy amphitheater depression deeply carved into a massive field.",Varies
Garfield Park (Bandstand),Outdoor,park,East Garfield Park,9,permit@chicagoparkdistrict.com,,,"A beautifully decaying, incredibly ornate marble outdoor gazebo completely adrift atop a small lagoon island.",Varies
Humboldt Park (Boathouse Pavilion Exterior),Outdoor,park,Humboldt Park,9,permit@chicagoparkdistrict.com,,,"Sweeping, wildly romantic Prairie style exterior terraces leading down to incredibly still, heavily shaded water.",Varies
Douglas Park (Flower Garden),Outdoor,garden,North Lawndale,9,permit@chicagoparkdistrict.com,,,"Intensely structured, heavily layered geometric pathways deeply sunken into a surrounding wild woodland.",Varies
Columbus Park (Waterfalls),Outdoor,nature preserve,Austin,9,permit@chicagoparkdistrict.com,,,"An absolutely surreal, beautifully manufactured cascading stone waterfall completely hidden inside an urban park.",Varies
Marquette Park (Lagoon Islands),Outdoor,park,Chicago Lawn,9,permit@chicagoparkdistrict.com,,,"Densely wooded, incredibly isolated micro-islands completely ringed by beautifully overgrown algae-covered banks.",Varies
Lincoln Park (Alfred Caldwell Lily Pool circular stone),Outdoor,garden,Lincoln Park,9,,,,"A specifically stark, deeply shadowed completely circular stone pavilion fiercely guarding a hidden lagoon.",Varies
Lincoln Park Zoo (Rookery),Outdoor,architectural landmark,Lincoln Park,9,,,,"An intensely eerie, completely overgrown island entirely coated with hundreds of nesting, screaming herons.",Varies
Goudy Square Park,Outdoor,park,Gold Coast,10,permit@chicagoparkdistrict.com,,,"An impossibly tiny, incredibly ornate micro-park completely dominated by massive, looming brick high-rises.",Varies
Senn Park,Outdoor,park,Edgewater,10,permit@chicagoparkdistrict.com,,,"Fiercely geometric, deeply manicured green spaces leading directly to an incredibly imposing, massive high school facade.",Varies
Indian Boundary Park (Tudor Fieldhouse Exterior),Outdoor,historic building,West Ridge,9,permit@chicagoparkdistrict.com,,,"A completely absurd, highly detailed Tudor-style mansion structure bizarrely dropped straight into a public park.",Varies
Clarendon Park Community Center (Exterior),Outdoor,historic building,Uptown,9,permit@chicagoparkdistrict.com,,,"An intensely grand, heavily columned brick structure completely surrounded by completely barren sporting fields.",Varies
Winnemac Park (Prairie Grasslands),Outdoor,nature preserve,Lincoln Square,10,permit@chicagoparkdistrict.com,,,"Acres of totally wild, highly aggressive tallgrass prairie completely hiding the surrounding neighborhood grid.",Varies
Horner Park (Riverfront Trail),Outdoor,nature preserve,Irving Park,10,permit@chicagoparkdistrict.com,,,"A freshly eroded, entirely wild dirt path incredibly close to the rushing, muddy north branch river waters.",Varies
River Park (Dam/Waterfall),Outdoor,nature preserve,Albany Park,10,permit@chicagoparkdistrict.com,,,"An intensely loud, completely brutal concrete dam structure where the river wildly drops several feet in elevation.",Varies
North Park Village Nature Center,Outdoor,nature preserve,North Park,9,permit@chicagoparkdistrict.com,,,"An absolutely surreal, utterly silent deer-filled woodland completely erased from the surrounding dense city.",Varies
Lakeshore Drive Tunnel (Addison),Outdoor,public art,Lakeview,9,,,,"A terrifyingly long, intensely colorful mosaic-tiled pedestrian tube deeply buried under roaring speedways.",Varies
Oakwood Beach,Outdoor,waterfront,Kenwood,9,permit@chicagoparkdistrict.com,,,"An incredibly wide, completely desolate beach expanse completely shadowed by deep brutalist concrete breakwaters.",Varies
