Location Name,Type,Space Category,Neighborhood,Feasibility Score,Contact Info,Booking Link,IG/Social Link,Why It's Interesting,Capacity Estimate
The Golden Triangle,Indoor,gallery,River North,8,info@goldentriangle.biz,https://www.goldentriangle.biz,goldentrianglechicago,Sprawling warehouse packed with massive Asian antiquities and temple architecture.,100
Woolly Mammoth Antiques & Oddities,Indoor,store,Andersonville,7,woollymammothchicago@gmail.com,,woollymammothchicago,"Taxidermy, medical oddities, and eerie vintage items stacked to the ceiling.",20
Architectural Artifacts Inc.,Indoor,warehouse,Near North Side,10,sales@architecturalartifacts.com,https://architecturalartifacts.com,artifactsevents,"Endless rooms filled with massive statues, terra cotta facades, and European antiques.",200
Catalyst Ranch,Indoor,studio,West Loop,10,info@catalystranch.com,https://www.catalystranch.com/,catalystranch,"Highly colorful, eccentrically decorated rooms designed for creative corporate meetings but great on camera.",100
Ignite Glass Studios,Indoor,studio,West Loop,10,info@igniteglass.com,https://www.igniteglass.com,igniteglass,Working glass blowing studio with roaring furnaces and industrial rawness.,150
Chicago Magic Lounge (Hidden Library),Indoor,speakeasy,Andersonville,9,info@chicagomagiclounge.com,https://www.chicagomagiclounge.com,chicagomagiclounge,"Hidden behind a fake laundromat, features sliding bookshelves and moody, occult-leaning decor.",40
The Drifter,Indoor,speakeasy,River North,8,,https://www.thedrifterchicago.com,thedrifterchicago,"Authentic 1920s speakeasy hidden beneath a tavern, heavily stylized with circus and tarot decor.",30
Room 13,Indoor,speakeasy,Lakeview,7,room13@oldchicagoinn.com,https://www.oldchicagoinn.com/room-13,room13chicago,"Secretive, password-only alleyway entrance leading to an impeccably preserved Roaring Twenties room.",25
The Violet Hour (Salons),Indoor,speakeasy,Wicker Park,8,info@theviolethour.com,https://www.theviolethour.com,theviolethourchicago,"Acoustically treated, dimly lit rooms with surreal high-backed chairs and crystal chandeliers.",50
Harold Washington Library Winter Garden,Indoor,library,Loop,6,,,chipublib,"A stunning, massive glass-domed atrium at the top of the central public library.",200
Poetry Foundation Building,Indoor,library,River North,6,info@poetryfoundation.org,,poetryfoundation,"Modern, minimalist architecture with stark metal fins, glass, and silent reading rooms.",50
Holy Trinity Russian Orthodox Cathedral,Indoor,church,Ukrainian Village,5,info@holytrinitycathedral.net,,,"Designed by Louis Sullivan, blending Eastern Orthodox geometry with intricate Prairie School details.",100
Second Presbyterian Church,Indoor,church,South Loop,6,info@2ndpresbyterian.org,,2ndpresbyterian,Arts and Crafts movement interior entirely covered in rich wood and immense Tiffany windows.,200
St. John Cantius Church,Indoor,church,West Town,5,,,stjohncantius,"Jaw-dropping Baroque interior that feels like it belongs in 17th-century Rome, not Chicago.",500
Rockefeller Memorial Chapel (Hidden Areas),Indoor,church,Hyde Park,6,,,ucrockefeller,Massive Gothic revival towers and brooding stone corridors that rarely see daylight.,100
Fourth Presbyterian Church Cloister,Indoor,church,Streeterville,7,,,fourthpreschicago,"A secluded, ivy-covered stone walkway courtyard that blocks out all surrounding downtown noise.",50
Our Lady of Sorrows Basilica,Indoor,church,East Garfield Park,5,,,olsbasilicachi,"Colossal Renaissance revival arches and a ceiling that stretches into a cavernous, darkened nave.",800
University of Chicago Subterranean Libraries,Indoor,library,Hyde Park,4,,,uchicagolibrary,Brutalist reading rooms and robotic underground book retrieval systems under a massive glass dome.,100
Floating World Gallery,Indoor,gallery,Lincoln Park,9,info@floatingworld.com,https://floatingworld.com,,Zen minimalist architecture featuring exposed wooden trusses and Japanese art aesthetics.,50
Mana Contemporary Chicago,Indoor,gallery,Pilsen,7,info@manacontemporary.com,,manacontemporary,A monumental former shipping facility turned into miles of white-walled artist studios.,Varies
Heaven Gallery,Indoor,gallery,Wicker Park,9,info@heavengallery.com,https://www.heavengallery.com/,heavengallerychicago,"Sun-drenched vintage storefront gallery with worn wooden floors and an intimate, DIY atmosphere.",50
Intuit: The Center for Intuitive and Outsider Art,Indoor,museum,West Town,7,intuit@art.org,,intuitartcenter,Unconventional art spaces including the obsessively detailed Henry Darger room recreation.,50
Spertus Institute,Indoor,museum,Loop,7,events@spertus.edu,,spertusinstitute,Radical geometric glass facade that fractures light into an ultra-modern stark white interior.,100
Ukrainian Institute of Modern Art,Indoor,museum,Ukrainian Village,8,info@uima-chicago.org,,uimachicago,"Sleek, minimalist 1970s exhibition halls perfect for highlighting geometric art and clean lines.",80
Polish Museum of America,Indoor,museum,West Town,7,pma@polishmuseumofamerica.org,,polishmuseum,"Dense with cultural history, stained glass windows, and a massive, ornate Great Hall.",150
Swedish American Museum,Indoor,museum,Andersonville,8,museum@samac.org,,swedishamericanmuseum,"Wooden immigrant trunks and a rustic, timber-focused interior reminiscent of Scandinavian design.",100
DuSable Black History Museum,Indoor,museum,Washington Park,7,info@dusablemuseum.org,,dusablemuseum,"Beautifully restored Burnham building with sprawling, resonant galleries and striking sculptures.",200
The Cliff Dwellers Club,Indoor,private club,Loop,6,,,cliffdwellersclub,"A hidden, 22nd-floor vintage club with unobstructed views of the Art Institute and Lake Michigan.",80
The Arts Club of Chicago,Indoor,private club,Near North Side,5,,,artsclubchicago,An iconic floating steel staircase designed by Mies van der Rohe dominates the minimalist lobby.,100
Vatican Studios,Indoor,studio,West Town,9,,,,"Underground artists loft with exposed brick, murals, and a genuinely raw DIY Chicago vibe.",40
Humboldt Park Boathouse (Indoor Pavilion),Indoor,cultural center,Humboldt Park,8,,,chicagoparks,Prairie style architecture overlooking the lagoon with grand arched windows and terracotta floors.,70
The Silver Room,Indoor,store,Hyde Park,7,info@thesilverroom.com,,thesilverroom,"Vibrant, art-covered boutique space that serves as a community hub with incredible lighting.",30
Museum of Contemporary Photography,Indoor,museum,Loop,6,mocp@colum.edu,,mocpchi,"Multi-tiered, compact, and highly modern architectural layout explicitly designed to showcase light.",50
Gino's East (Vintage Graffiti Rooms),Indoor,restaurant,River North,9,,,ginoseast,Entirely covered floor-to-ceiling in decades of carved customer graffiti; chaotic and visually dense.,50
Cricket Hill,Outdoor,park,Uptown,9,permit@chicagoparkdistrict.com,,,"A solitary, sweeping grassy hill that provides a rare unobstructed 360-degree skyline and lake view.",Varies
Palmisano Park (Stearns Quarry),Outdoor,park,Bridgeport,9,permit@chicagoparkdistrict.com,,,"A former limestone quarry converted to a stark, terraced landscape with jagged rocks and marshland.",Varies
The 606 Trail Underpasses,Outdoor,public art,Logan Square,9,,,the606chicago,"Echoing, concrete tunnels under transit lines lit by strips of neon and natural light shafts.",Varies
Promontory Point,Outdoor,waterfront,Hyde Park,9,permit@chicagoparkdistrict.com,,,"A manmade peninsula surrounded by giant, tumbled limestone blocks crashing into the lake.",Varies
Northerly Island Nature Walk,Outdoor,nature preserve,Near South Side,9,permit@chicagoparkdistrict.com,,northerlyisland,Wild prairie grasses and rolling hills built over a former airport runway right on the lake.,Varies
Jackson Park Lagoons,Outdoor,park,Hyde Park,9,,,,"Overgrown, serene waterways crossed by classic arched stone bridges from the 1893 World's Fair.",Varies
Ping Tom Memorial Park,Outdoor,park,Chinatown,9,,,chicagoparks,Bamboo gardens and a striking red pagoda-style pavilion set against a harsh industrial train bridge.,Varies
Pilsen Murals (16th Street),Outdoor,public art,Pilsen,10,,,,"Two uninterrupted miles of vibrant, colossal street art painted directly onto massive railroad embankments.",Varies
Alfred Caldwell Lily Pool,Outdoor,garden,Lincoln Park,8,info@lincolnparkconservancy.org,https://lincolnparkconservancy.org,lincolnparkconservancy,"A hidden, tranquil stone basin enclosed by native trees that feels completely isolated from the city.",20
Osaka Garden (Garden of the Phoenix),Outdoor,garden,Hyde Park,8,,,,"Authentic Japanese strolling garden resting on a wooded island, featuring traditional pavilions.",30
South Garden at the Art Institute,Outdoor,garden,Loop,7,,,,"A highly structured, shaded plaza built over a parking garage featuring the iconic Fountain of the Great Lakes.",50
Cancer Survivors' Garden,Outdoor,garden,Maggie Daley Park,8,,,,Massive monolithic stone columns flank either side of a brutalist yet lush sunken floral design.,Varies
Milton Lee Olive Park,Outdoor,waterfront,Streeterville,9,,,,"Minimalist, geometric park with black granite benches and absolutely massive circular aeration fountains.",Varies
Montrose Point Bird Sanctuary,Outdoor,nature preserve,Uptown,9,,,,"Dense, untamed 'magic hedge' blocking out city views, immersing you entirely in nature.",Varies
Lake Shore Drive Underpasses (Oak Street),Outdoor,public art,Gold Coast,10,,,,"Gritty, subterranean concrete walkways leading to the lake, covered in layers of spray paint.",Varies
Bubbly Creek,Outdoor,waterfront,Bridgeport,10,,,,"An infamous, eerily still arm of the Chicago River flanked by overgrown, decaying industrial infrastructure.",Varies
Elevated Train Platforms (Quincy Station),Outdoor,architectural landmark,Loop,4,media@transitchicago.com,,chicagocta,Immaculately preserved 1890s L station with pressed metal ceiling panels and vintage advertising.,20
Wabash Arts Corridor,Outdoor,public art,South Loop,10,,,wabashartscorridor,Towering alleyways dominated by multi-story abstract murals and aggressive urban textures.,Varies
Chicago Riverwalk (Isolated East End),Outdoor,waterfront,Loop,9,,,chicagoriverwalk,"Sleek, modernist concrete walkways that cut deep beneath the city's towering historic bridges.",Varies
DuSable Park (Undeveloped Peninsula),Outdoor,waterfront,Streeterville,8,,,,"A stark, untamed patch of land jutting directly into the lake mouth right next to Navy Pier.",Varies
Steelworkers Park,Outdoor,park,South Chicago,9,,,,"Massive, apocalyptic-looking concrete ore walls reclaimed by wild vegetation on the lake.",Varies
Hegewisch Marsh,Outdoor,nature preserve,Hegewisch,9,,,,Vast wetlands blending stark industrial smokestacks in the background with pristine natural reeds.,Varies
North Branch Trail (LaBagh Woods),Outdoor,nature preserve,Forest Glen,9,,,,"Muddy riverbanks cutting through thick, shadowy groves of towering trees under train trestles.",Varies
Graceland Cemetery,Outdoor,park,Uptown,5,info@gracelandcemetery.org,,,Eerie and monumental tombs designed by legendary architects scattered across rolling green hills.,Varies
Rosehill Cemetery,Outdoor,park,Lincoln Square,5,info@rosehillcemetery.com,,,"Gothic entrance gates lead to vast, quiet expanses of Victorian-era stonework and dark mausoleums.",Varies
Bohemian National Cemetery,Outdoor,park,North Park,6,,,,"Features a genuinely breathtaking, vines-covered crematorium columbarium that feels completely lost to time.",Varies
Indian Boundary Park Lagoon Ruins,Outdoor,park,West Ridge,9,,,,The crumbling foundations and overgrown paths of what was once an old neighborhood zoo.,Varies
Navy Pier Upper Decks (Abandoned Feel),Outdoor,rooftop,Streeterville,7,navypierinfo@navypier.org,,navypierchicago,"Far from the tourists, the highest brutalist concrete walkways overlooking the lake offer stark, liminal space.",Varies
WNDR Museum Exterior Courtyard,Outdoor,immersive exhibit,West Loop,8,,,wndrmuseum,Fenced-in lot heavily adorned with constantly shifting street art and strange structural installations.,50
Chinatown Square Rooftops,Outdoor,rooftop,Chinatown,6,,,,"Dense, neon-drenched multi-level commercial architecture reminiscent of a cyberpunk aesthetic.",Varies
The Monadnock Building (Interior Hallways),Indoor,architectural landmark,Loop,6,,,,"Dark, towering load-bearing brick walls and massive oak doors with an authentic 1890s atmosphere.",Varies
Palmer House Hilton (Empire Room),Indoor,historic building,Loop,7,,,palmerhousehilton,"Gilded opulence, massive chandeliers, and French Empire-style decor that feels overwhelming.",300
Garfield Park Conservatory (Aroid House),Indoor,immersive exhibit,East Garfield Park,8,rentals@garfieldpark.org,,garfieldparkconservatory,Featuring glass lily pads and Chihuly glass sculptures among dense tropical leaves.,100
Lincoln Park Conservatory (Orchid House),Indoor,immersive exhibit,Lincoln Park,7,,https://lincolnparkconservancy.org,lincolnparkconservancy,"Humid, vibrantly colored glass house tightly packed with exotic hanging flora.",50
Shedd Aquarium (Oceanarium Underwater Viewing),Indoor,museum,Near South Side,5,events@sheddaquarium.org,,shedd_aquarium,Thick curved glass walls peering into glowing blue saltwater habitats.,Varies
Field Museum (Stanley Field Hall - After Hours),Indoor,museum,Near South Side,4,events@fieldmuseum.org,,fieldmuseum,"Colossal, echoing marble halls flanked by massive taxidermy and skeletal monuments.",Varies
Museum of Science and Industry (U-505 Room),Indoor,museum,Hyde Park,4,specialevents@msichicago.org,,msichicago,An entire multi-story subterranean concrete cavern housing a fully intact WWII submarine.,Varies
Adler Planetarium (Grainger Sky Theater),Indoor,museum,Near South Side,6,events@adlerplanetarium.org,,adlerplanet,Immersive 360-degree domed space that can project absolute darkness or cosmic visuals.,Varies
ISAC Museum (Former Oriental Institute),Indoor,museum,Hyde Park,6,isac-events@uchicago.edu,,isacupress,"Features towering, monolithic ancient Assyrian artifacts and dimly lit stone galleries.",100
Smart Museum of Art,Indoor,museum,Hyde Park,7,smart-museum@uchicago.edu,,smartmuseum,Minimalist modernist gallery surrounded by a courtyard of brutalist concrete.,Varies
Jane Addams Hull-House Museum,Indoor,museum,Near West Side,6,hullhouse@uic.edu,,hullhousemuseum,"A preserved 19th-century settlement house with eerie, claustrophobic Victorian rooms.",50
Charnley-Persky House,Indoor,architectural landmark,Gold Coast,7,info@sah.org,,charnleyperskyhouse,Louis Sullivan and Frank Lloyd Wright collaboration featuring harsh geometric wood interiors.,30
Clarke-Ford House,Indoor,historic building,South Loop,6,,,,"Chicago's oldest surviving house, a stark white Greek Revival structure that feels displaced in time.",50
Robie House (Dining Room/Living Room),Indoor,architectural landmark,Hyde Park,6,events@flwright.org,,flwtrust,The ultimate Prairie style interior emphasizing extreme horizontal lines and custom art glass.,40
Hotel Florence (Historic Lobby),Indoor,historic building,Pullman,5,,,pullmanil,Abandoned-feeling 1880s hotel interior with dark cherry woodwork and peeling grandeur.,Varies
Greenstone United Methodist Church,Indoor,church,Pullman,7,greenstoneumc@gmail.com,,greenstoneumc,"Massive serpentine green stone exterior giving way to a warm, rounded wooden auditorium.",200
St. Clement Church,Indoor,church,Lincoln Park,6,,,,Byzantine-style mosaic dome that violently contrasts with the surrounding modern city.,Varies
Holy Name Cathedral (Wooden Ceiling),Indoor,church,Near North Side,5,,,holynamechicago,Gargantuan carved wooden ceiling vault that feels like the inverted hull of an ancient ship.,Varies
"Seventeenth Church of Christ, Scientist",Indoor,architectural landmark,Loop,5,info@christiansciencechicago.org,,,"A radical brutalist concrete cylinder that contains a sweeping, auditorium-style sanctuary.",Varies
Kam Isaiah Israel,Indoor,architectural landmark,Hyde Park,6,office@kamii.org,,,Unique octagonal Byzantine architecture with a massive echoing interior.,Varies
Quinn Chapel AME Church,Indoor,church,South Loop,6,quinnchapelamec@sbcglobal.net,,,"Historic abolitionist church with rugged, time-worn architectural character.",Varies
First United Methodist Church (Sky Chapel),Indoor,church,Loop,4,,,chicagotemple,"A tiny, perfectly preserved gothic chapel hidden 400 feet up inside a downtown skyscraper.",30
St. Michael's in Old Town,Indoor,church,Old Town,6,,,stmikeschicago,Towering Bavarian-influenced columns that survived the Great Chicago Fire.,Varies
St. Benedict the African,Indoor,church,Englewood,7,,,,Striking modern afro-centric religious architecture with a cascading indoor water feature.,Varies
S.R. Crown Hall (Mies van Rohe),Indoor,architectural landmark,Bronzeville,6,events@iit.edu,,iitarchitecture,The masterpiece of modernist glass-and-steel architecture; a totally column-free open space.,Varies
Carr Memorial Chapel,Indoor,architectural landmark,Bronzeville,7,,,,"Known as the 'God Box,' a relentlessly stark minimalist brick and steel cuboid chapel.",100
D'Angelo Law Library,Indoor,library,Hyde Park,5,,,uchicagolaw,"Aggressive, imposing mid-century geometric design that feels like a bureaucratic fortress.",Varies
Joe and Rika Mansueto Library,Indoor,library,Hyde Park,5,,,uchicagolibrary,Underground reading room entirely encapsulated by an enormous elliptical glass dome.,Varies
Chicago Public Library - Chinatown Branch,Indoor,library,Chinatown,7,,,chipublib,A pebble-shaped building with continuous flowing interior lines and massive sun-shades.,Varies
Wrightwood 659,Indoor,gallery,Lincoln Park,7,info@wrightwood659.org,,wrightwood659,Tadao Ando-designed bare concrete and glass gallery inserted into a vintage brick shell.,Varies
Museum of Broadcast Communications,Indoor,museum,River North,8,events@museum.tv,,mbc_chicago,Retro 1970s television and radio sets dominating the visual landscape of the floors.,150
Pritzker Military Museum & Library,Indoor,library,Loop,6,events@pritzkermilitary.org,,pritzkermilitary,"Intensely formal, multi-level gallery with deep reds and gold accents housing rare military history.",100
McCormick Bridgehouse & Chicago River Museum,Indoor,museum,Loop,8,bridgehousemuseum@chicagoriver.org,,bridgehousemuseum,Five stories of exposed massive gears and raw stone located entirely within a bridge tower.,40
Wintrust Bank Building (231 S LaSalle),Indoor,historic building,Loop,5,,,,A neoclassical colossal banking hall with 40-foot marble columns.,Varies
The Builders Building (Atrium),Indoor,architectural landmark,Loop,7,,,,"Massive glass skylight covering a breathtaking, intricate multi-story indoor courtyard.",Varies
BMO Family Office (Former Harris Bank),Indoor,historic building,Loop,4,,,,Bas-relief stone walls and intense mid-century banking geometry.,Varies
Old Post Office (Meadow/Lobby),Indoor,historic building,Loop,8,events@post433.com,https://post433.com,post433,Immaculately restored 1920s Art Deco lobby on an absolutely gargantuan scale.,300
Navy Pier (Crystal Gardens/Abandoned feel),Indoor,immersive exhibit,Streeterville,7,navypierinfo@navypier.org,,navypierchicago,"An echoing, massive glass atrium filled with towering palm trees, currently transitioning use.",Varies
Chicago Board of Trade Vaults,Indoor,architectural landmark,Loop,5,info@cbotbuilding.com,,cbotbuilding,Basement safe deposit vaults featuring steel doors several feet thick and endless grim corridors.,Varies
Gwendolyn Brooks Library (CSU Campus),Indoor,library,Roseland,6,,,,"Futuristic angular glass facade enclosing a brightly lit, sharply modern academic atrium.",Varies
Congress Theater (Abandoned Spaces),Indoor,adaptive reuse,Logan Square,3,,,,"Massive, empty, and hauntingly beautiful 1920s movie palace awaiting full restoration.",Varies
Uptown Theatre (Interior),Indoor,adaptive reuse,Uptown,2,,,,"The largest and most ornate crumbling theater in the city, an aesthetic holy grail of decay.",Varies
Avalon Regal Theater,Indoor,theater,South Shore,3,,,avalonregal,"Moorish Revival atmospheric theater with incredible, highly specific exotic architectural motifs.",Varies
Civic Opera House (Foyer),Indoor,architectural landmark,Loop,6,events@lyricopera.org,,lyricopera,A colossal Art Deco masterpiece featuring towering gold-leaf ceilings and geometric symmetry.,Varies
Symphony Center (Grainger Ballroom),Indoor,historic building,Loop,6,rentals@cso.org,,chicagosymphony,Overlooks Michigan Avenue with massive windows and heavily decorated French Beaux-Arts style.,200
Chicago Union Station (Great Hall),Indoor,architectural landmark,Loop,4,events@chicagounionstation.com,,chicagounionstation,"One of the largest, most visually dominant interior vaulted spaces in North America.",Varies
Tree Studios (Courtyard/Interior Corridors),Indoor,historic building,Near North Side,6,,,,1890s artist live/work spaces with creaking wooden floors and bizarre gothic doors.,Varies
The Richard J. Daley Center (Lower Concourse),Indoor,architectural landmark,Loop,5,,,,"A low-ceiling maze of incredibly harsh, unyielding Miesian glass and dark metal.",Varies
TheMART (Grand Stair),Indoor,architectural landmark,River North,7,events@themart.com,,themartchicago,"A sprawling, ultra-modern tiered wooden staircase juxtaposed against an Art Deco monolith.",Varies
Tribune Tower (Lobby),Indoor,architectural landmark,Near North Side,5,,,,"Gothic revival lobby filled with carved stone quotes and dark, dramatic shadows.",Varies
333 North Michigan Ave (Lobby),Indoor,architectural landmark,Loop,6,,,,Elaborate Art Deco marble walls and polished brass elevators.,Varies
The Carbide & Carbon Building (Pendry Lobby),Indoor,historic building,Loop,7,events@pendry.com,,pendrychicago,Rich Belgian marble lobby that feels like stepping into a 1920s noir film.,100
Marquette Building (Lobby Mosaics),Indoor,architectural landmark,Loop,6,,,,"Features glittering Tiffany mosaics depicting early local history in a dense, dark space.",Varies
Oriental Theatre (Nederlander) Lobby,Indoor,theater,Loop,6,,,broadwayinchicago,Wildly excessive multi-colored Indian and Southeast Asian architectural fantasy design.,Varies
Cadillac Palace Theatre (Lobby),Indoor,theater,Loop,6,,,broadwayinchicago,"Breathtakingly ornate French baroque style with massive, swooping marble staircases.",Varies
The Neo-Futurarium,Indoor,theater,Andersonville,8,admin@neofuturists.org,,theneofuturists,"A long, narrow loft-style performance space that feels deeply ingrained with DIY energy.",100
The Driehaus Museum (Nickerson Mansion),Indoor,museum,Near North Side,6,events@driehausmuseum.org,,driehausmuseum,"The 'Marble Palace', overwhelmingly dense with Gilded Age excess and heavily textured rooms.",Varies
Chicago Cultural Center (GAR Hall),Indoor,historic building,Loop,6,dcase@cityofchicago.org,,chicagoculturalcenter,"A darker, moodier counterpart to the main dome, featuring deep greens and heavy marble.",100
Block 37 (Subterranean Transit Station),Indoor,architectural landmark,Loop,4,,,,"An entirely abandoned, futuristic super-station built beneath a mall but never used.",Varies
Gallagher Way (Indoor suites),Indoor,private club,Wrigleyville,6,events@gallagherway.com,,gallagherwaychi,Ultra-sleek modernized suites that contrast sharply with the historic baseball aesthetic.,Varies
Lurie Garden,Outdoor,garden,Loop,8,info@luriegarden.org,,luriegarden,"A dense, manicured clash of wild prairie grass cut by an aggressive, severe limestone wall.",Varies
31st Street Harbor,Outdoor,waterfront,Near South Side,9,harbors@chicagoparkdistrict.com,,chicagoharbors,Ultra-modern harbor infrastructure featuring stark concrete angles jutting into the lake.,Varies
South Shore Nature Sanctuary,Outdoor,nature preserve,South Shore,9,permit@chicagoparkdistrict.com,,,A circular stone fire pit and boardwalk paths hiding within dense thickets against the lake.,Varies
Washington Park (Fountain of Time),Outdoor,public art,Washington Park,9,permit@chicagoparkdistrict.com,,,"A colossal, eerie concrete sculptural masterpiece surrounded by wide, empty parkland.",Varies
Midway Plaisance,Outdoor,park,Hyde Park,9,permit@chicagoparkdistrict.com,,,"A massive sunken grassy trench spanning a mile, originally part of the 1893 World's Fair.",Varies
Canal Origins Park,Outdoor,waterfront,Bridgeport,9,permit@chicagoparkdistrict.com,,,"Brutal, forgotten industrial aesthetic located exactly where the river reverses flow.",Varies
Park No. 571 (Eleanor Boathouse),Outdoor,architectural landmark,Bridgeport,8,permit@chicagoparkdistrict.com,,,"Studio Gang designed rhythmic, jagged zinc-clad roofs that look like floating geometry.",Varies
